timestamp,token
0,0
987,1
1116,0
1182,0
1332,0
1466,0
1601,0
1705,0
1870,0
2011,0
2178,0
2234,0
2360,0
2441,0
2591,0
2683,0
2820,0
2973,0
3064,1
3230,0
3397,0
3499,0
3596,0
3735,0
4093,0
4174,0
4316,0
4443,1
4653,0
4813,0
4877,0
5247,0
5380,0
5835,0
6015,1
6366,0
6554,0
6618,0
6781,0
6924,0
7029,0
7140,0
7216,0
7937,3
8072,1
8825,0
9039,0
9175,0
9245,0
9345,1
9767,0
9902,0
10043,0
10095,0
10229,1
11540,0
11879,0
12778,0
13121,0
13306,0
13357,0
13530,1
13797,0
13918,0
14096,0
14196,3
14623,2
18442,0
19245,0
19608,0
19809,0
19983,0
20081,0
20181,1
20417,0
20575,0
20825,0
20952,0
21386,0
21514,0
21609,0
21707,1
21879,0
22026,0
22121,1
22375,0
22499,0
23625,0
23846,0
24043,0
24118,0
24218,0
24320,1
24991,0
25131,0
25216,0
25331,0
25523,0
25624,0
25722,0
25906,0
25990,0
26162,1
26490,0
26572,0
26678,0
26751,0
26924,1
27084,0
27153,1
27485,0
27708,0
28227,0
28386,0
28541,0
29424,0
29502,0
29612,0
29692,1
30557,0
30641,0
30821,0
31275,0
31374,0
31530,0
31645,0
31755,0
31885,0
32004,0
32072,0
32231,0
32456,3
32872,2
34564,0
35356,0
35475,0
36305,0
36530,0
36684,0
36847,0
36990,0
37094,0
37192,1
37862,3
38584,1
39030,0
39150,0
39329,0
39432,1
39674,0
39803,0
39932,1
40460,0
40606,0
40764,0
40913,0
41052,0
41104,0
41278,1
41457,0
41605,0
41903,0
42083,0
42330,0
43234,0
43758,0
44366,0
44532,0
44716,1
45287,0
45464,0
45547,0
45686,0
45760,0
45933,0
46772,0
46959,1
47340,0
47444,0
47525,0
47628,1
47986,0
48181,0
48922,0
49589,0
50318,0
50561,0
52014,0
52181,0
52658,1
53029,0
53211,0
53321,0
53413,0
53525,0
53683,3
54320,2
55008,0
55521,0
55686,0
55886,0
55984,1
56306,0
56412,0
56626,0
56750,0
56899,0
57065,1
57475,0
57613,0
57722,0
57880,0
58008,0
58092,0
58201,1
58361,0
58438,0
59716,0
59950,0
60073,0
60184,0
60859,1
61137,0
61217,0
61381,0
61611,1
61844,0
61947,0
62048,1
62398,0
63132,0
63317,0
63892,0
64051,0
64130,0
64222,0
64397,0
65500,3
65818,1
66437,0
66577,0
66736,0
66827,1
66940,0
67027,1
67392,0
67481,0
67583,0
67684,0
67755,1
68484,0
68592,0
68751,0
68874,0
69041,0
69230,0
69300,0
69790,3
70172,2
71714,0
72544,0
72740,0
72895,0
73059,0
73213,0
73343,0
73484,0
73676,0
73741,1
74223,0
74334,0
74505,0
74696,0
74796,0
74949,0
75706,0
75840,0
75947,1
76176,0
76898,0
77084,0
77278,0
77703,0
78408,0
78599,0
78807,0
79064,0
79769,0
79971,0
80064,0
80183,1
80646,0
80859,0
81117,0
81259,0
81359,0
81463,1
81903,0
82179,0
82310,0
82511,0
82670,0
82822,0
82985,0
84068,1
86545,3
88000,0
89502,3
90197,1
91234,0
92022,1
93478,3
94780,0
95674,3
98285,3
98751,2
102949,0
103545,0
103855,0
104844,0
104942,0
105261,0
105591,0
105700,0
105860,0
106019,1
106400,0
106534,0
109985,0
110783,0
110891,0
111106,0
111232,0
111315,0
111465,0
112217,3
112377,1
113090,0
113229,0
113403,0
113500,1
113673,0
113865,0
114007,0
114164,0
114772,0
114908,0
115263,0
115451,0
115532,1
115821,0
115965,0
116355,0
116882,0
117615,3
117840,1
118404,0
118506,0
118667,0
118839,0
118931,0
119047,1
119229,0
119342,0
119410,1
119594,0
119767,0
119868,0
120030,0
120273,0
120366,0
120548,0
120689,1
120902,0
121006,0
121088,0
121184,1
121651,0
121749,0
121909,0
122272,0
122694,0
122903,0
123215,0
123363,0
123540,0
123579,0
123764,0
124316,3
126629,2
128166,0
128666,0
128779,0
128870,0
129042,1
